	oLu1_pool	oLu3_pool	oLu5_pool	oLu19_pool
	b	b	b	b
luchoice				
plantrent	.3643449	.0233551	.6366985	.5212277
plantrent_luq2	.740654	.0317782	-.328504	.2334049
plantrent_luq3	6.271666	1.955085	1.961329	1.371488
plantdum	-3.246516	1.990525	-5.155758	-3.174511
plantdum_luq2	-.8496643	.1249585	.6700909	.1600934
plantdum_luq3	-10.34408	-2.835198	-4.413134	-1.872196
plantdum_south	.9823247	1.459847	.5531318	-.1668654
plantdum_central	2.239873	1.384517	1.471114	-.0575518
plantdum_noprot	1.201696	-.5164168	1.588984	2.103741
agrent	.0384072	.0689007	.0068305	.0432686
agrent_luq2	-.0089773	-.0048612	-.0163143	.0236983
agrent_luq3	-.0936839	-.0768755	-.0286355	-.0556656
agdum	-3.401146	-.8476625	-2.287393	2.062327
agdum_luq2	-1.386146	-1.103933	-1.173118	-.8218537
agdum_luq3	-1.308099	-.0304628	-1.822896	.028041
agdum_south	3.204176	1.626385	1.3463	-.0281801
agdum_central	2.439424	.5435511	.809963	-.5978639
agdum_noprot	1.056394	.5749513	.9353867	.3456415
forrent	-.0409145	-.6171262	-1.412733	-2.240734
forrent_luq2	-.6565422	.658464	.4842495	1.064818
forrent_luq3	-1.227174	.670711	-.0855549	.5889273
fordum	1.783438	.7711982	.966777	2.007129
fordum_luq2	1.722325	-.8648677	-.8398594	-1.627084
fordum_luq3	3.395761	-.3873009	.2314053	-.0822771
fordum_south	.3968999	1.459807	-.0500062	.7221982
fordum_central	.6843854	.0106842	-.4504568	-.5750875
fordum_noprot	-.4601852	-.7841225	-.2771071	.37528
