	oLu1_pool	oLu3_pool	oLu5_pool	oLu19_pool
	se	se	se	se
luchoice				
plantrent	.3588278	.2693396	.257803	.2539832
plantrent_luq2	.4285262	.2390955	.2658506	.2984437
plantrent_luq3	.8983691	.5128753	1.072392	.8315537
plantdum	.6106288	.4710916	.6237246	.4955316
plantdum_luq2	.6085964	.3167561	.3969039	.3824607
plantdum_luq3	1.313566	.7167162	1.497764	1.096911
plantdum_south	.3048431	.2446355	.2459328	.2080189
plantdum_central	.2694527	.2386522	.1944337	.1990594
plantdum_noprot	.3358697	.296255	.4345006	.2854615
agrent	.0186137	.0124994	.0089976	.0122971
agrent_luq2	.0157306	.0121733	.0092659	.0137786
agrent_luq3	.1129909	.0190086	.0184228	.018849
agdum	.4291685	.3564374	.2750019	.2823326
agdum_luq2	.1434304	.145521	.1063641	.1133255
agdum_luq3	.6999219	.3157794	.2427617	.1934752
agdum_south	.3456816	.1577199	.1399908	.1597382
agdum_central	.3573168	.1275507	.1456361	.1620328
agdum_noprot	.1580818	.3582629	.2206566	.205179
forrent	.3220225	.4662325	.3922833	.564769
forrent_luq2	.1668134	.3071038	.1681503	.3185874
forrent_luq3	.2448783	.4662089	.2485219	.3996492
fordum	.8102935	1.13719	.9940776	1.365121
fordum_luq2	.3186717	.6434163	.3474921	.5156712
fordum_luq3	.4499135	1.010425	.4942301	.7184955
fordum_south	.3827969	.444182	.4802814	.598868
fordum_central	.1831324	.214993	.2731694	.3175273
fordum_noprot	.1238379	.3746118	.1774523	.3300095
